,vectorno,label,model,alpha,type,preprocessor,tokenizer,max_features,stop_words,lowercase,strip_accents,f1dev,aucdev,f1train,auctrain
0,40.0,toxic,bern,{'alpha': 0.5},count,0.0,0.0,,english,True,unicode,0.8996213697262212,0.8523217266581193,0.9012044518981552,0.8925083439061733
1,226.0,toxic,multi,{'alpha': 0.1},tfidf,0.0,0.0,6000,english,True,ascii,0.9508196721311475,0.7646791786762037,0.9535259141009659,0.7797294304999078
2,128.0,severe_toxic,bern,{'alpha': 2.0},count,0.0,0.0,4000,english,True,ascii,0.9504243987684114,0.9421040585088385,0.9492210971902101,0.9344264274756433
3,274.0,severe_toxic,multi,{'alpha': 0.5},tfidf,0.0,0.0,10000,english,True,ascii,0.9907630856286926,0.582934058346443,0.9910675049101818,0.6177395123009084
4,128.0,obscene,bern,{'alpha': 10.0},count,0.0,0.0,4000,english,True,ascii,0.9380461013564118,0.8937368052403464,0.9398043101979319,0.9002519003470577
5,130.0,obscene,multi,{'alpha': 0.5},tfidf,0.0,0.0,4000,english,True,ascii,0.9735999001414662,0.7804744358707563,0.9744222128552595,0.7923759964495963
6,168.0,threat,bern,{'alpha': 0.5},count,0.0,0.0,5000,english,True,,0.9778438878255804,0.8387353310128398,0.9764580325193044,0.9169732238422034
7,122.0,threat,multi,{'alpha': 0.1},tfidf,0.0,0.0,4000,english,True,,0.9968794208205043,0.5543723856985671,0.9974440149592387,0.6069989476619205
8,128.0,insult,bern,{'alpha': 10.0},count,0.0,0.0,4000,english,True,ascii,0.9336980943663143,0.8781014449054592,0.9346923401164094,0.8802535070949309
9,154.0,insult,multi,{'alpha': 0.1},tfidf,0.0,0.0,5000,,True,ascii,0.9692310892901722,0.7361515322659057,0.9704492255813745,0.7582205150428047
10,200.0,identity_hate,bern,{'alpha': 2.0},count,0.0,0.0,6000,,True,ascii,0.9036989265207622,0.8281216895456511,0.9054016483861421,0.884631801463943
11,226.0,identity_hate,multi,{'alpha': 0.5},tfidf,0.0,0.0,6000,english,True,ascii,0.9913039860198053,0.5556316430782564,0.9921078356636144,0.5798371855661825
